Year,NOC,Athletes,Bronze,Gold,Silver,Total_Medals,Efficiency (%),Sport,Female_Participants,Male_Participants
1896,AUS,1,1.0,2.0,0.0,3.0,300.0,Athletics,0,3
1896,AUS,1,1.0,2.0,0.0,3.0,300.0,Tennis,0,2
1896,AUT,3,2.0,2.0,1.0,5.0,166.66666666666669,Cycling,0,4
1896,AUT,3,2.0,2.0,1.0,5.0,166.66666666666669,Fencing,0,1
1896,AUT,3,2.0,2.0,1.0,5.0,166.66666666666669,Swimming,0,3
1896,DEN,3,3.0,1.0,2.0,6.0,200.0,Athletics,0,4
1896,DEN,3,3.0,1.0,2.0,6.0,200.0,Fencing,0,1
1896,DEN,3,3.0,1.0,2.0,6.0,200.0,Gymnastics,0,1
1896,DEN,3,3.0,1.0,2.0,6.0,200.0,Shooting,0,7
1896,DEN,3,3.0,1.0,2.0,6.0,200.0,Weightlifting,0,2
1896,FRA,12,2.0,5.0,4.0,11.0,91.66666666666666,Athletics,0,12
1896,FRA,12,2.0,5.0,4.0,11.0,91.66666666666666,Cycling,0,7
1896,FRA,12,2.0,5.0,4.0,11.0,91.66666666666666,Fencing,0,4
1896,FRA,12,2.0,5.0,4.0,11.0,91.66666666666666,Gymnastics,0,1
1896,FRA,12,2.0,5.0,4.0,11.0,91.66666666666666,Shooting,0,1
1896,FRA,12,2.0,5.0,4.0,11.0,91.66666666666666,Tennis,0,1
1896,GBR,10,3.0,3.0,3.0,9.0,90.0,Athletics,0,7
1896,GBR,10,3.0,3.0,3.0,9.0,90.0,Cycling,0,5
1896,GBR,10,3.0,3.0,3.0,9.0,90.0,Gymnastics,0,1
1896,GBR,10,3.0,3.0,3.0,9.0,90.0,Shooting,0,5
1896,GBR,10,3.0,3.0,3.0,9.0,90.0,Tennis,0,4
1896,GBR,10,3.0,3.0,3.0,9.0,90.0,Weightlifting,0,2
1896,GBR,10,3.0,3.0,3.0,9.0,90.0,Wrestling,0,1
1896,GER,19,2.0,25.0,5.0,32.0,168.42105263157893,Athletics,0,14
1896,GER,19,2.0,25.0,5.0,32.0,168.42105263157893,Cycling,0,10
1896,GER,19,2.0,25.0,5.0,32.0,168.42105263157893,Gymnastics,0,66
1896,GER,19,2.0,25.0,5.0,32.0,168.42105263157893,Tennis,0,2
1896,GER,19,2.0,25.0,5.0,32.0,168.42105263157893,Weightlifting,0,1
1896,GER,19,2.0,25.0,5.0,32.0,168.42105263157893,Wrestling,0,1
1896,GRE,102,20.0,10.0,18.0,48.0,47.05882352941176,Athletics,0,36
1896,GRE,102,20.0,10.0,18.0,48.0,47.05882352941176,Cycling,0,15
1896,GRE,102,20.0,10.0,18.0,48.0,47.05882352941176,Fencing,0,9
1896,GRE,102,20.0,10.0,18.0,48.0,47.05882352941176,Gymnastics,0,12
1896,GRE,102,20.0,10.0,18.0,48.0,47.05882352941176,Shooting,0,46
1896,GRE,102,20.0,10.0,18.0,48.0,47.05882352941176,Swimming,0,11
1896,GRE,102,20.0,10.0,18.0,48.0,47.05882352941176,Tennis,0,13
1896,GRE,102,20.0,10.0,18.0,48.0,47.05882352941176,Weightlifting,0,4
1896,GRE,102,20.0,10.0,18.0,48.0,47.05882352941176,Wrestling,0,2
1896,HUN,7,3.0,2.0,1.0,6.0,85.71428571428571,Athletics,0,5
1896,HUN,7,3.0,2.0,1.0,6.0,85.71428571428571,Gymnastics,0,8
1896,HUN,7,3.0,2.0,1.0,6.0,85.71428571428571,Swimming,0,2
1896,HUN,7,3.0,2.0,1.0,6.0,85.71428571428571,Tennis,0,1
1896,HUN,7,3.0,2.0,1.0,6.0,85.71428571428571,Weightlifting,0,1
1896,HUN,7,3.0,2.0,1.0,6.0,85.71428571428571,Wrestling,0,1
1896,ITA,1,0.0,0.0,0.0,0.0,0.0,Shooting,0,1
1896,SUI,3,0.0,1.0,2.0,3.0,100.0,Gymnastics,0,7
1896,SUI,3,0.0,1.0,2.0,3.0,100.0,Shooting,0,1
1896,SWE,1,0.0,0.0,0.0,0.0,0.0,Athletics,0,4
1896,SWE,1,0.0,0.0,0.0,0.0,0.0,Gymnastics,0,1
1896,USA,14,2.0,11.0,7.0,20.0,142.85714285714286,Athletics,0,21
1896,USA,14,2.0,11.0,7.0,20.0,142.85714285714286,Shooting,0,4
1896,USA,14,2.0,11.0,7.0,20.0,142.85714285714286,Swimming,0,2
1900,ARG,1,0.0,0.0,0.0,0.0,0.0,Fencing,0,1
1900,AUS,2,3.0,3.0,0.0,6.0,300.0,Athletics,0,4
1900,AUS,2,3.0,3.0,0.0,6.0,300.0,Swimming,0,2
1900,AUT,16,3.0,0.0,3.0,6.0,37.5,Athletics,0,3
1900,AUT,16,3.0,0.0,3.0,6.0,37.5,Equestrianism,0,6
1900,AUT,16,3.0,0.0,3.0,6.0,37.5,Fencing,0,8
1900,AUT,16,3.0,0.0,3.0,6.0,37.5,Swimming,0,9
1900,BEL,64,13.0,6.0,24.0,43.0,67.1875,Archery,0,8
1900,BEL,64,13.0,6.0,24.0,43.0,67.1875,Cycling,0,1
1900,BEL,64,13.0,6.0,24.0,43.0,67.1875,Equestrianism,0,15
1900,BEL,64,13.0,6.0,24.0,43.0,67.1875,Fencing,0,6
1900,BEL,64,13.0,6.0,24.0,43.0,67.1875,Football,0,9
1900,BEL,64,13.0,6.0,24.0,43.0,67.1875,Gymnastics,0,2
1900,BEL,64,13.0,6.0,24.0,43.0,67.1875,Rowing,0,11
1900,BEL,64,13.0,6.0,24.0,43.0,67.1875,Shooting,0,36
1900,BEL,64,13.0,6.0,24.0,43.0,67.1875,Swimming,0,1
1900,BEL,64,13.0,6.0,24.0,43.0,67.1875,Water Polo,0,11
1900,BOH,7,2.0,0.0,1.0,3.0,42.857142857142854,Athletics,0,5
1900,BOH,7,2.0,0.0,1.0,3.0,42.857142857142854,Cycling,0,1
1900,BOH,7,2.0,0.0,1.0,3.0,42.857142857142854,Gymnastics,0,1
1900,BOH,7,2.0,0.0,1.0,3.0,42.857142857142854,Tennis,2,0
1900,BRA,1,0.0,0.0,0.0,0.0,0.0,Athletics,0,3
1900,CAN,4,1.0,1.0,0.0,2.0,50.0,Athletics,0,7
1900,COL,1,0.0,0.0,1.0,1.0,100.0,Tug-Of-War,0,1
1900,CUB,1,0.0,1.0,1.0,2.0,200.0,Fencing,0,2
1900,DEN,13,2.0,4.0,3.0,9.0,69.23076923076923,Athletics,0,6
1900,DEN,13,2.0,4.0,3.0,9.0,69.23076923076923,Fencing,0,1
