Year,Sport,Female_Participants,Male_Participants
1896,Athletics,0,106
1896,Cycling,0,41
1896,Fencing,0,15
1896,Gymnastics,0,97
1896,Shooting,0,65
1896,Swimming,0,18
1896,Tennis,0,23
1896,Weightlifting,0,10
1896,Wrestling,0,5
1900,Archery,0,32
1900,Athletics,0,234
1900,Basque Pelota,0,2
1900,Cricket,0,24
1900,Croquet,6,13
1900,Cycling,0,92
1900,Equestrianism,2,77
1900,Fencing,0,317
1900,Football,0,35
1900,Golf,10,12
1900,Gymnastics,0,135
1900,Polo,0,21
1900,Rowing,0,133
1900,Rugby,0,47
1900,Sailing,3,277
1900,Shooting,0,221
1900,Swimming,0,131
1900,Tennis,12,35
1900,Tug-Of-War,0,12
1900,Water Polo,0,53
1904,Archery,16,54
1904,Athletics,0,201
1904,Boxing,0,24
1904,Cycling,0,61
1904,Diving,0,5
1904,Fencing,0,28
1904,Football,0,36
1904,Golf,0,105
1904,Gymnastics,0,458
1904,Lacrosse,0,36
1904,Roque,0,4
1904,Rowing,0,46
1904,Swimming,0,64
1904,Tennis,0,57
1904,Tug-Of-War,0,30
1904,Water Polo,0,21
1904,Weightlifting,0,7
1904,Wrestling,0,48
1906,Athletics,0,470
1906,Cycling,0,138
1906,Diving,0,24
1906,Fencing,0,161
1906,Football,0,45
1906,Gymnastics,0,156
1906,Rowing,0,200
1906,Shooting,0,320
1906,Swimming,0,78
1906,Tennis,11,37
1906,Tug-Of-War,0,32
1906,Weightlifting,0,22
1906,Wrestling,0,39
1908,Archery,25,52
1908,Athletics,0,778
1908,Boxing,0,42
1908,Cycling,0,269
1908,Diving,0,47
1908,Fencing,0,240
1908,Figure Skating,8,15
1908,Football,0,72
1908,Gymnastics,0,349
1908,Hockey,0,68
1908,Jeu De Paume,0,11
1908,Lacrosse,0,24
1908,Motorboating,1,16
1908,Polo,0,12
1908,Racquets,0,12
1908,Rowing,0,87
1908,Rugby,0,30
1908,Sailing,1,63
1908,Shooting,0,444
1908,Swimming,0,150
1908,Tennis,12,72
1908,Tug-Of-War,0,40
1908,Water Polo,0,28
1908,Wrestling,0,133
1912,Art Competitions,0,33
1912,Athletics,0,962
1912,Cycling,0,242
1912,Diving,14,72
1912,Equestrianism,0,128
1912,Fencing,0,379
1912,Football,0,163
1912,Gymnastics,0,310
1912,Modern Pentathlon,0,32
1912,Rowing,0,197
1912,Sailing,0,109
1912,Shooting,0,794
1912,Swimming,43,158
1912,Tennis,30,143
1912,Tug-Of-War,0,16
1912,Water Polo,0,45
1912,Wrestling,0,170
1920,Archery,0,86
1920,Art Competitions,1,10
1920,Athletics,0,849
1920,Boxing,0,116
1920,Cycling,0,212
1920,Diving,19,51
1920,Equestrianism,0,132
1920,Fencing,0,350
1920,Figure Skating,14,17
1920,Football,0,190
1920,Gymnastics,0,263
1920,Hockey,0,51
1920,Ice Hockey,0,60
1920,Modern Pentathlon,0,23
1920,Polo,0,17
1920,Rowing,0,144
1920,Rugby,0,31
1920,Sailing,1,100
1920,Shooting,0,838
1920,Swimming,47,162
1920,Tennis,52,101
1920,Tug-Of-War,0,40
1920,Water Polo,0,101
1920,Weightlifting,0,53
1920,Wrestling,0,161
1924,Alpinism,0,21
1924,Art Competitions,33,285
1924,Athletics,0,1003
1924,Bobsleigh,0,39
1924,Boxing,0,181
1924,Cross Country Skiing,0,74
1924,Curling,0,16
1924,Cycling,0,249
1924,Diving,28,62
1924,Equestrianism,0,194
1924,Fencing,25,399
1924,Figure Skating,17,20
1924,Football,0,279
1924,Gymnastics,0,638
1924,Ice Hockey,0,82
1924,Military Ski Patrol,0,24
1924,Modern Pentathlon,0,38
1924,Nordic Combined,0,30
1924,Polo,0,24
1924,Rowing,0,196
1924,Rugby,0,54
1924,Sailing,1,68
1924,Shooting,0,508
1924,Ski Jumping,0,27
1924,Speed Skating,0,110
1924,Swimming,83,180
1924,Tennis,74,179
1924,Water Polo,0,101
1924,Weightlifting,0,107
1924,Wrestling,0,244
1928,Art Competitions,55,753
1928,Athletics,129,863
1928,Bobsleigh,0,116
1928,Boxing,0,144
1928,Cross Country Skiing,0,90
1928,Cycling,0,227
1928,Diving,27,47
1928,Equestrianism,0,232
1928,Fencing,27,403
1928,Figure Skating,33,30
1928,Football,0,219
1928,Gymnastics,56,608
1928,Hockey,0,137
1928,Ice Hockey,0,124
1928,Modern Pentathlon,0,37
1928,Nordic Combined,0,35
1928,Rowing,0,247
1928,Sailing,2,126
1928,Skeleton,0,10
1928,Ski Jumping,0,38
1928,Speed Skating,0,106
1928,Swimming,108,170
1928,Water Polo,0,112
1928,Weightlifting,0,94
1928,Wrestling,0,169
1932,Alpinism,0,2
1932,Art Competitions,158,966
1932,Athletics,80,442
1932,Bobsleigh,0,52
1932,Boxing,0,85
1932,Cross Country Skiing,0,74
1932,Cycling,0,109
1932,Diving,15,21
1932,Equestrianism,0,65
1932,Fencing,17,175
1932,Figure Skating,22,19
1932,Gymnastics,0,147
1932,Hockey,0,40
1932,Ice Hockey,0,48
1932,Modern Pentathlon,0,25
1932,Nordic Combined,0,33
1932,Rowing,0,166
1932,Sailing,0,57
1932,Shooting,0,44
1932,Ski Jumping,0,34
1932,Speed Skating,0,70
1932,Swimming,77,118
1932,Water Polo,0,41
1932,Weightlifting,0,29
1932,Wrestling,0,90
1936,Aeronautics,0,1
1936,Alpine Skiing,37,66
1936,Alpinism,1,1
1936,Art Competitions,52,761
1936,Athletics,134,873
1936,Basketball,0,199
1936,Bobsleigh,0,118
1936,Boxing,0,179
1936,Canoeing,0,143
1936,Cross Country Skiing,0,175
1936,Cycling,0,301
1936,Diving,38,50
1936,Equestrianism,0,256
1936,Fencing,41,515
1936,Figure Skating,44,43
1936,Football,0,201
1936,Gymnastics,64,883
1936,Handball,0,105
1936,Hockey,0,167
1936,Ice Hockey,0,173
1936,Modern Pentathlon,0,42
1936,Nordic Combined,0,51
