Year,NOC,Bronze,Gold,Silver,Total
1896,AUS,1,2,0,3
1896,AUT,2,2,1,5
1896,DEN,3,1,2,6
1896,FRA,2,5,4,11
1896,GBR,3,3,3,9
1896,GER,2,25,5,32
1896,GRE,20,10,18,48
1896,HUN,3,2,1,6
1896,SUI,0,1,2,3
1896,USA,2,11,7,20
1900,AUS,3,3,0,6
1900,AUT,3,0,3,6
1900,BEL,13,6,24,43
1900,BOH,2,0,1,3
1900,CAN,1,1,0,2
1900,COL,0,0,1,1
1900,CUB,0,1,1,2
1900,DEN,2,4,3,9
1900,ESP,0,2,0,2
1900,FRA,82,52,101,235
1900,GBR,15,59,34,108
1900,GER,11,14,20,45
1900,HAI,0,1,0,1
1900,HUN,2,1,2,5
1900,IND,0,0,2,2
1900,ITA,0,3,2,5
1900,LUX,0,1,0,1
1900,MEX,3,0,0,3
1900,NED,16,3,8,27
1900,NOR,3,0,6,9
1900,NZL,0,1,0,1
1900,SUI,1,16,4,21
1900,SWE,1,3,0,4
1900,USA,17,30,16,63
1904,AUS,1,0,3,4
1904,AUT,1,2,1,4
1904,CAN,12,27,9,48
1904,CUB,0,5,0,5
1904,FRA,0,0,2,2
1904,GBR,0,1,1,2
1904,GER,7,4,5,16
1904,GRE,1,1,0,2
1904,HUN,1,2,1,4
1904,NOR,0,2,0,2
1904,SUI,2,1,0,3
1904,USA,125,128,141,394
1906,AUS,3,0,0,3
1906,AUT,3,3,3,9
1906,BEL,6,2,3,11
1906,BOH,3,0,0,3
1906,CAN,0,1,1,2
1906,DEN,1,14,19,34
1906,FIN,1,2,1,4
1906,FRA,28,20,16,64
1906,GBR,8,9,22,39
1906,GER,6,14,10,30
1906,GRE,30,24,48,102
1906,HUN,3,5,5,13
1906,ITA,27,21,8,56
1906,NED,5,0,1,6
1906,NOR,0,20,5,25
1906,SUI,1,8,3,12
1906,SWE,14,2,5,21
1906,USA,6,12,6,24
1908,ANZ,2,15,2,19
1908,AUT,1,0,0,1
1908,BEL,8,1,24,33
1908,BOH,6,0,0,6
1908,CAN,30,14,8,52
1908,DEN,3,0,14,17
1908,FIN,28,1,1,30
1908,FRA,23,12,5,40
1908,GBR,90,147,131,368
1908,GER,6,4,11,21
1908,GRE,1,0,3,4
1908,HUN,6,7,7,20
1908,ITA,0,2,6,8
1908,NED,16,0,0,16
1908,NOR,3,7,32,42
1908,RSA,0,1,1,2
1908,RUS,0,1,2,3
1908,SWE,18,48,18,84
1908,USA,15,34,16,65
1912,ANZ,3,5,2,10
1912,AUT,5,0,9,14
1912,BEL,11,7,1,19
1912,CAN,3,3,2,8
1912,DEN,33,5,49,87
1912,FIN,22,9,40,71
1912,FRA,5,10,11,26
1912,GBR,59,47,64,170
1912,GER,23,11,19,53
1912,GRE,1,1,0,2
1912,HUN,3,10,17,30
1912,ITA,2,22,1,25
1912,NED,26,0,0,26
1912,NOR,34,40,6,80
1912,RSA,0,5,2,7
1912,RUS,9,0,5,14
1912,SUI,0,2,0,2
1912,SWE,25,103,62,190
1912,USA,36,46,25,107
1920,AUS,1,0,6,7
1920,BEL,66,57,65,188
1920,BRA,5,1,1,7
1920,CAN,3,10,3,16
1920,DEN,1,26,44,71
1920,ESP,0,0,23,23
1920,EST,0,1,2,3
1920,FIN,17,21,14,52
1920,FRA,57,13,71,141
1920,GBR,17,52,42,111
1920,GRE,0,0,5,5
1920,ITA,8,67,9,84
1920,JPN,0,0,3,3
1920,LUX,0,0,1,1
1920,NED,25,15,10,50
1920,NOR,27,58,52,137
1920,NZL,1,0,0,1
1920,RSA,6,3,12,21
1920,SUI,21,6,2,29
1920,SWE,64,52,38,154
1920,TCH,10,0,0,10
1920,USA,38,111,45,194
1924,ARG,2,5,3,10
1924,AUS,2,4,5,11
1924,AUT,1,3,4,8
1924,BEL,11,3,30,44
1924,CAN,1,9,19,29
1924,DEN,3,2,9,14
1924,EST,4,1,1,6
1924,FIN,18,28,21,67
1924,FRA,32,37,51,120
1924,GBR,30,31,34,95
1924,GRE,0,1,0,1
1924,HAI,5,0,0,5
1924,HUN,8,2,12,22
1924,IND,0,7,0,7
1924,IRL,1,0,1,2
1924,ITA,21,25,5,51
1924,JPN,1,0,0,1
1924,LUX,0,1,1,2
1924,MON,1,0,0,1
1924,NED,18,8,1,27
1924,NEP,0,1,0,1
1924,NOR,9,18,12,39
1924,NZL,1,0,0,1
1924,POL,1,0,4,5
1924,POR,4,0,0,4
1924,ROU,16,0,0,16
1924,RSA,1,1,1,3
1924,SUI,22,22,25,69
1924,SWE,43,8,30,81
1924,TCH,5,1,4,10
1924,URU,0,14,0,14
1924,USA,50,98,46,194
1924,YUG,0,2,0,2
1928,ARG,5,3,18,26
1928,AUS,1,1,2,4
1928,AUT,4,3,4,11
