Year,NOC,Athletes,Total_Medals,Efficiency
1896,AUS,1,5,5.0
1896,AUT,3,8,2.6666666666666665
1896,DEN,3,15,5.0
1896,FRA,12,26,2.1666666666666665
1896,GBR,10,25,2.5
1896,GER,19,94,4.947368421052632
1896,GRE,102,148,1.4509803921568627
1896,HUN,7,18,2.5714285714285716
1896,ITA,1,1,1.0
1896,SUI,3,8,2.6666666666666665
1896,SWE,1,5,5.0
1896,USA,14,27,1.9285714285714286
1900,ARG,1,1,1.0
1900,AUS,2,6,3.0
1900,AUT,16,26,1.625
1900,BEL,64,100,1.5625
1900,BOH,7,9,1.2857142857142858
1900,BRA,1,3,3.0
1900,CAN,4,7,1.75
1900,COL,1,1,1.0
1900,CUB,1,2,2.0
1900,DEN,13,36,2.769230769230769
1900,ESP,9,12,1.3333333333333333
1900,FRA,720,1071,1.4875
1900,GBR,104,146,1.4038461538461537
1900,GER,76,103,1.355263157894737
1900,GRE,3,4,1.3333333333333333
1900,HAI,3,4,1.3333333333333333
1900,HUN,18,34,1.8888888888888888
1900,IND,1,5,5.0
1900,IRI,1,1,1.0
1900,ITA,23,36,1.565217391304348
1900,LUX,1,1,1.0
1900,MEX,3,3,1.0
1900,NED,35,73,2.085714285714286
1900,NOR,7,29,4.142857142857143
1900,NZL,1,1,1.0
1900,PER,1,2,2.0
1900,ROU,1,1,1.0
1900,RUS,4,5,1.25
1900,SUI,18,52,2.888888888888889
1900,SWE,10,27,2.7
1900,USA,75,135,1.8
1904,AUS,2,6,3.0
1904,AUT,2,7,3.5
1904,CAN,56,61,1.0892857142857142
1904,CUB,3,6,2.0
1904,FRA,1,2,2.0
1904,GBR,6,6,1.0
1904,GER,22,55,2.5
1904,GRE,14,17,1.2142857142857142
1904,HUN,4,9,2.25
1904,ITA,1,1,1.0
1904,NFL,1,1,1.0
1904,NOR,3,6,2.0
1904,RSA,8,8,1.0
1904,SUI,3,7,2.3333333333333335
1904,USA,524,1109,2.116412213740458
1906,AUS,4,10,2.5
1906,AUT,31,100,3.225806451612903
1906,BEL,16,31,1.9375
1906,BOH,13,29,2.230769230769231
1906,CAN,3,4,1.3333333333333333
1906,CRT,8,11,1.375
1906,DEN,49,68,1.3877551020408163
1906,EGY,2,5,2.5
1906,FIN,4,18,4.5
1906,FRA,56,174,3.107142857142857
1906,GBR,48,113,2.3541666666666665
1906,GER,49,157,3.204081632653061
1906,GRE,312,484,1.5512820512820513
1906,HUN,35,99,2.8285714285714287
1906,ITA,76,103,1.355263157894737
1906,NED,16,49,3.0625
1906,NOR,32,55,1.71875
1906,SUI,9,45,5.0
1906,SWE,39,95,2.4358974358974357
1906,TUR,1,2,2.0
1906,USA,38,81,2.1315789473684212
1908,ANZ,30,48,1.6
1908,ARG,1,1,1.0
1908,AUT,7,13,1.8571428571428572
1908,BEL,70,99,1.4142857142857144
1908,BOH,19,41,2.1578947368421053
1908,CAN,87,148,1.7011494252873562
1908,DEN,78,107,1.3717948717948718
1908,FIN,62,94,1.5161290322580645
1908,FRA,208,319,1.5336538461538463
1908,GBR,735,972,1.3224489795918368
1908,GER,82,148,1.8048780487804879
1908,GRE,20,49,2.45
1908,HUN,65,107,1.646153846153846
1908,ISL,1,1,1.0
1908,ITA,66,97,1.4696969696969697
1908,NED,113,218,1.9292035398230087
1908,NOR,69,103,1.4927536231884058
1908,RSA,14,33,2.357142857142857
1908,RUS,6,7,1.1666666666666667
1908,SUI,1,1,1.0
1908,SWE,168,276,1.6428571428571428
1908,USA,122,219,1.7950819672131149
1912,ANZ,25,38,1.52
1912,AUT,85,132,1.5529411764705883
1912,BEL,36,72,2.0
1912,BOH,43,74,1.7209302325581395
1912,CAN,37,60,1.6216216216216217
1912,CHI,14,28,2.0
1912,DEN,152,233,1.5328947368421053
1912,FIN,164,233,1.420731707317073
1912,FRA,119,232,1.949579831932773
1912,GBR,274,461,1.6824817518248176
1912,GER,185,312,1.6864864864864866
1912,GRE,22,77,3.5
1912,HUN,121,207,1.7107438016528926
1912,ISL,2,2,1.0
1912,ITA,66,96,1.4545454545454546
1912,JPN,2,4,2.0
